Unnamed: 0,西湖龙井,龙井,安吉白茶,松阳香茶,川贵x雀舌,碧螺春,信阳毛尖,黄山毛峰,太平猴魁,六安瓜片,日照绿茶
城市产区,（浙江.杭州),（浙江杭州/富阳/千岛湖/绍兴等）,（浙江.湖州),（浙江.丽水),（四川.贵州湄潭）,（江苏.苏州）,（河南.信阳）,（安徽.黄山）,（安徽.黄山）,（安徽.六安）,（山东.日照）
核心产区（山头）,西湖风景名胜区（狮峰山、白鹤峰、上天竺）、西湖产区,钱塘产区（余杭、富阳、千岛湖等）,安吉县天荒坪镇、溪龙乡,松阳县大木山、谢村等生态茶园,贵州湄潭・万里茶海茶园、凤冈仙人岭生态茶园、黎平高屯 / 肇兴茶园,苏州太湖的东洞庭山（东山）和西洞庭山（西山）,浉河区“五云两潭一寨”（车云山、集云山等）,黄山市徽州区富溪乡、歙县、休宁县等地高山茶园、徽州区富溪茶园,黄山区新明乡（猴坑、猴岗、颜家）,金寨齐头山、霍山大化坪,山东省日照市，核心产区集中在岚山区巨峰镇、后村镇、东港区
,,,,,,,,,,,
品类特色,扁平光滑，色翠香郁，滋味甘醇，“四绝”著称,外形近西湖龙井，香气清雅，性价比高,春季玉白芽叶，高氨基酸，鲜爽清甜（属绿茶工艺）,香气高扬带花果韵，醇厚耐泡，电商热销品类,芽头短小饱满，扁平匀直，色泽翠绿；栗香显，滋味鲜爽回甘强，汤色嫩绿透亮。,外形蜷曲如螺、全身白毫、花果香、鲜爽味,细紧圆直显白毫，汤色嫩绿，香高味浓,白毫显露，汤色清碧微黄，香气清鲜如兰，滋味鲜醇回甘，具“金黄片、象牙色”特征,两叶抱一芽，兰香显著，形扁挺直，“尖茶之冠”,唯一无芽无梗片茶，形似瓜子，清香醇和,江北第一茶。栗香浓郁、滋味醇厚、回味甘甜，带有独特的“豌豆鲜”或“熟板栗香”，汤色黄绿明亮。
,,,,,,,,,,,
价格区间,1000 – 3000+/斤,200 – 800+/斤,400 – 1200/斤,100 – 500/斤,川： 220–450/斤,400-3000+/斤,150 – 600/斤,200 – 3000元/斤,500 – 2000/斤,300 – 1000/斤,300 – 1500
（斤价500g）,,,,,贵： 180–350/斤,,,,,,
特点介绍,介绍：龙井茶，浙江省特产，中国国家地理标志产品，在浙江龙井茶分为西湖、钱塘、越州三大产区。,介绍：安吉白茶产自中国浙江省湖州市安吉县，名为“白茶”实属绿茶类。为国家地理标志保护产品。名。,,,介绍：,,介绍：安徽三大绿茶、信阳毛尖和日照绿茶是北方绿茶的典型代表。安徽黄山毛峰、六安瓜片、太平猴魁工艺与风味独特；信阳毛尖以鲜浓板栗香著称，日照绿茶则以高纬度特有的浓郁“豌豆鲜”闻名。,,,,
,西湖产区：即杭州市西湖区（西湖风景名胜区）；茶园总面积2亩；,安吉白茶“形如兰蕙、色如玉、香郁味鲜”，其氨基酸含量远高于普通绿茶，而茶多酚含量较低，因此滋味格外鲜爽甘醇，几乎没有苦涩味，冲泡后兰香馥郁、是春茶季的特色佳品，价格带400 – 1200/斤,,,四川绿茶：两大优势产区（以峨眉山-蒙顶山为代表的川西高山云雾产区；以宜宾为核心川南早茶产区-“中国早茶之乡”开采期领先全国。代表品类-竹叶青，形似竹叶外观，香气清雅高锐（嫩栗香）、滋味鲜爽醇和，回甘生津快而持久；雀舌：峨眉山/宜宾/雅安等地均有出产。宜宾雀舌拥有“早”优势，口感更为鲜嫩，充满春天鲜活气息；蒙顶甘露（卷曲形）以其“鲜醇甘爽” 和独特的“板栗香”著称；,,,,,,
,钱塘产区：包括杭州市萧山区、滨江区、余杭区、临安市、富阳市、桐庐县、建德市、淳安县等8个县茶园总面积45亩；,,,,贵州绿茶：贵州是中国重要绿茶产区，有高海拔、低纬度、寡日照、多云雾的独特条件，2017 年获 “贵州绿茶” 农产品地理标志认证，核心风味为翡翠绿、嫩栗香、浓爽味。代表品类-都匀毛尖：卷曲形代表，中国十大名茶，外形紧细卷曲带白毫；湄潭翠芽：扁平光滑似葵花籽，色泽绿翠；栗香浓郁伴花香，滋味醇厚爽口，回味甘甜；雷山银球茶：制成球形，汤色黄绿明亮，栗香显，鲜醇回甘；凤冈锌硒茶：产自遵义凤冈，天然富锌富硒，茶汤嫩绿，香气清鲜，滋味醇厚，兼具生态与保健属性。,,,,,,
,越州产区：包括绍兴县、越城区、新昌县、嵊州市、诸暨市、上虞市、磐安县、东阳市、天台县等9县茶园总面积65亩。,,,,,,,,,,
,,,,,,,,,,,
,西湖龙井：中国十大名茶之首，驰名中外的“绿茶皇后”，不仅受到历代帝王将相、文人墨客的喜爱，也得到众多国家领导人的青睐。苏东坡留下了“从来佳茗似佳人”的绝句；乾隆皇帝作龙井茶诗六首，并亲封“十八棵御茶”；毛泽东说“虎跑水泡龙井茶天下一绝”，并将龙井茶作为国礼赠送美国总统尼克松；周恩来总理曾五次到梅家坞，留下了许多茶的佳话。习近平主席在2016年G20峰会前用西湖龙井招待美国总统奥巴马。西湖龙井茶是杭州的一张金名片。,,,,,,,,,,
